id,latitude,longitude,propertyType,priceChangePercentTotal,energyClass,price,rooms,size,lotSize,floor,buildYear,city,zipCode,street,squaremeterPrice,basementSize
1824132,55.71528,12.46024,3,0,E,2250000,3,76,0,2,1958,Brønshøj,2700,Åfløjen 20  2. tv.,29605,0
1823840,55.68585,12.48309,3,0,D,2298000,2,54,0,2,1937,Vanløse,2720,"Ålekistevej 110B, 2. tv",42555,0
1823829,55.66011,12.62014,3,0,D,2745000,2,62,0,1,1932,København S,2300,"Mellemforts Allé 2, 1. tv.",44274,0
1824044,55.68407,12.48492,3,0,C,2850000,3,71,0,3,1958,Vanløse,2720,"Bogholder Allé 76A, 3. th.",40140,0
1823878,55.68744,12.5348,3,0,C,3695000,2,74,0,1,1976,Frederiksberg,2000,"Holger Danskes Vej 42, 1 9",49932,0
3995,55.68958,12.56435,3,0,C,3990000,2,51,0,4,1893,København N,2200,,78235,0
1824068,55.62343,12.60708,1,0,C,4195000,3,87,621,,1930,Kastrup,2770,Løjtegårdsvej 114,48218,0
1823965,55.66613,12.54469,3,0,C,4695000,3,71,0,1,1906,København V,1670,"Enghave Plads 23B, 1. th.",66126,0
1823841,55.69148,12.52943,3,0,C,5295000,3,101,6257,,1932,Frederiksberg,2000,"Duevej 60, st. tv",52425,0
1823891,55.66531,12.62564,3,0,I,5795000,3,85,0,7,2019,København S,2300,"Strandlodsvej 23C, 7. mf.",68176,0
1823892,55.66594,12.62516,3,0,J,5795000,4,110,0,1,2016,København S,2300,"Strandlodsvej 25D, 1. tv.",52681,0
1824050,55.64191,12.6062,1,0,D,5995000,3,83,563,,1937,København S,2300,Windsorvej 6,72228,83
1823995,55.70118,12.53461,3,0,E,6195000,4,110,0,1,1907,København NV,2400,Hejrevej 1B  1. th.,56318,0
1824051,55.6406,12.60308,1,4,D,7250000,5,131,778,,1935,København S,2300,Dublinvej 15,55343,78
1823751,55.68704,12.54192,3,0,C,7395000,5,154,0,5,1908,Frederiksberg,2000,"Falkoner Alle 126, 5.",48019,0
1823990,55.6683,12.53522,3,-3,I,7499000,4,114,0,3,2018,København V,1799,Thorvald Bindesbølls Plads 2  3. th.,65780,0
1823796,55.67757,12.58813,3,0,d,7500000,4,129,0,3,1877,København K,1055,"Tordenskjoldsgade 23, 3. th",58139,0
1824048,55.67038,12.56958,3,0,C,8495000,4,179,0,3,1917,København V,1577,"Bernstorffsgade 23, 3",47458,0
1823797,55.65807,12.56621,3,0,J,8950000,3,101,0,,2017,København S,2300,"Islands Brygge 38F, st. tv",88613,0
1823839,55.69784,12.58215,3,0,C,10950000,5,168,0,,1891,København Ø,2100,"Willemoesgade 29, mezz.",65178,0
1823798,55.66851,12.53602,2,0,J,11498000,5,143,113,,2019,København V,1799,Thorvald Bindesbølls Plads 10,80405,0
1823695,55.6501,12.49107,3,0,E,1898000,2,46,0,1,1946,Valby,2500,"Vigerslevvej 273, 1. mf.",41260,0
1823388,55.65845,12.62017,3,0,E,2295000,2,51,0,1,1935,København S,2300,"Marengovej 4, 1. th.",45000,0
1823401,55.6985,12.55297,3,0,D,2395000,2,48,0,,1901,København N,2200,"Ydunsgade 1, st tv",49895,0
1823407,55.65803,12.62185,3,0,E,2495000,2,52,0,2,1940,København S,2300,"Florensvej 4, 2 tv",47980,0
